General.ID,Order,Family,Genus,Species,Common.name,IUCN.status,Survivorship,Age,Sex,Year,Month,Day,Date.accuracy,Latitude,Longitude,Location.accuracy,Locality,State.or.Province,Country,Deterrent,Building.height,Pane.type,Data.collection.method
1,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2014,December,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
2,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Male,2018,June,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
3,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Female,2017,June,12,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
4,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Female,2018,May,23,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
5,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Male,2019,February,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
6,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Female,2019,December,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
7,Columbiformes,Columbidae,Geotrygon,Geotrygon montana,Ruddy Quail-dove,Least Concern,Dead,Unknown,Unknown,2014,August,18,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
8,Columbiformes,Columbidae,Zenaida,Zenaida auriculata,Eared Dove,Least Concern,Dead,Adult,Unknown,2019,November,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
9,Coraciiformes,Alcedinidae,Chloroceryle,Chloroceryle americana,Green Kingfisher,Least Concern,Alive,Adult,Female,2018,December,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
10,Passeriformes,Tyrannidae,Elaenia,Elaenia mesoleuca,Olivaceous Elaenia,Least Concern,Dead,Adult,Unknown,2018,April,5,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
11,Passeriformes,Tyrannidae,Elaenia,Elaenia flavogaster,Yellow-bellied Elaenia,Least Concern,Dead,Adult,Unknown,2019,December,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
12,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,House Wren,Least Concern,Dead,Adult,Unknown,2018,November,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
13,Passeriformes,Turdidae,Turdus,Turdus albicollis,White-necked Thrush,Least Concern,Dead,Unknown,Unknown,2019,June,19,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
14,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Adult,Unknown,2018,December,26,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
15,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Adult,Unknown,2018,December,7,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
16,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Juvenile,Unknown,2019,May,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
17,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Adult,Unknown,2019,November,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
18,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Adult,Female,2018,December,19,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
19,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Adult,Female,2018,December,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
20,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,August,15,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
21,Columbiformes,Columbidae,Geotrygon,Geotrygon montana,Ruddy Quail-dove,Least Concern,Dead,Unknown,Unknown,2014,August,18,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
22,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,c+omo ,2014,August,23,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
23,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,August,23,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
24,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Unknown,Unknown,2014,September,9,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
25,Passeriformes,Thraupidae,Stilpnia,Stilpnia cayana,Burnished-buff Tanager,Least Concern,Dead,Unknown,Unknown,2014,December,28,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
26,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,December,12,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
27,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,December,22,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
28,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collared Sparrow,Least Concern,Dead,Unknown,Unknown,2015,January,5,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
29,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collared Sparrow,Least Concern,Dead,Unknown,Unknown,2015,January,5,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
30,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2015,January,7,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
31,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collared Sparrow,Least Concern,Dead,Unknown,Unknown,2015,January,8,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
32,Columbiformes,Columbidae,Zenaida,Zenaida auriculata,Eared Dove,Least Concern,Dead,Unknown,Unknown,2015,January,13,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
33,Passeriformes,Tityridae,Pachyramphus,Pachyramphus validus,Crested Becard,Least Concern,Dead,Unknown,Unknown,2015,January,27,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
34,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collared Sparrow,Least Concern,Dead,Unknown,Unknown,2015,January,27,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
35,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collared Sparrow,Least Concern,Dead,Unknown,Unknown,2015,February,24,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
36,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2015,March,26,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
37,Passeriformes,Turdidae,Turdus,Turdus amaurochalinus,Creamy-bellied Thrush,Least Concern,Dead,Unknown,Unknown,2015,April,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
38,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2015,May,5,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
39,Passeriformes,Thraupidae,Tachyphonus,Tachyphonus coronatus,Ruby-crowned Tanager,Least Concern,Dead,Unknown,Unknown,2015,May,8,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
40,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2015,May,25,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
41,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2015,July,12,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
42,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2015,July,13,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
43,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2015,July,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
44,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2015,July,28,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
45,Passeriformes,Thraupidae,Sporophila,Sporophila caerulescens,Double-collared Seedeater,Least Concern,Dead,Unknown,Unknown,2015,September,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
46,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2015,November,4,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
47,Strigiformes,Strigidae,Athene,Athene cunicularia,Burrowing Owl,Least Concern,Dead,Unknown,Unknown,2015,November,16,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
48,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collared Sparrow,Least Concern,Dead,Unknown,Unknown,2015,November,26,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
49,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2016,January,27,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
50,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Unknown,Unknown,2016,February,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
51,Apodiformes,Trochilidae,Archilochus,Archilochus colubris,Ruby-throated Hummingbird,Least Concern,Dead,Juvenile,Male,2019,September,17,Exact,19.29,-99.15,Precise,Mexico City,Mexico,Mexico,None,Taller,Translucent,By chance
52,Passeriformes,Turdidae,Turdus,Turdus flavipes,Yellow-legged Thrush,Least Concern,Dead,Adult,Male,2019,April,28,Exact,-27.44,-48.46,Precise,Florianopolis,Santa Catarina,Brazil,None,Taller,Reflective,By chance
53,Passeriformes,Hirundinidae,Pygochelidon,Pygochelidon cyanoleuca,Blue-and-white Swallow,Least Concern,Alive,Adult,Unknown,2018,December,9,Exact,-23.56,-46.69,Precise,Sao Paulo,Sao Paulo,Brazil,None,Taller,Reflective,By chance
54,Passeriformes,Parulidae,Basileuterus,Basileuterus culicivorus,Golden-crowned Warbler,Least Concern,Dead,Adult,Unknown,2016,June,22,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
55,Apodiformes,Trochilidae,Campylopterus,Campylopterus hemileucurus,Violet Sabrewing,Least Concern,Dead,Adult,Female,2016,July,26,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
56,Apodiformes,Trochilidae,Anthracothorax,Anthracothorax prevostii,Green-breasted Mango,Least Concern,Dead,Adult,Female,2016,September,6,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
57,Apodiformes,Trochilidae,Lampornis,Lampornis amethystinus,Amethyst-throated Mountain-gem,Least Concern,Dead,Unknown,Unknown,2017,April,12,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
58,Columbiformes,Columbidae,Leptotila,Leptotila plumbeiceps,Gray-headed Dove,Least Concern,Dead,Adult,Unknown,2016,March,31,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
59,Passeriformes,Thraupidae,Saltator,Saltator atriceps,Black-headed Saltator,Least Concern,Alive,Adult,Unknown,2016,December,28,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
60,Passeriformes,Passerellidae,Chlorospingus,Chlorospingus flavopectus,Common Chlorospingus,Least Concern,Dead,Adult,Unknown,2016,February,18,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
61,Passeriformes,Parulidae,Basileuterus,Basileuterus culicivorus,Golden-crowned Warbler,Least Concern,Dead,Adult,Unknown,2016,November,12,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
62,Passeriformes,Turdidae,Catharus,Catharus aurantiirostris,Orange-billed Nightingale-Thrush,Least Concern,Dead,Adult,Unknown,2016,June,9,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
63,Passeriformes,Passerellidae,Chlorospingus,Chlorospingus flavopectus,Common Chlorospingus,Least Concern,Dead,Adult,Unknown,2016,June,16,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
64,Passeriformes,Thraupidae,Coeraba,Coereba flaveola,Bananaquit,Least Concern,Dead,Adult,Unknown,2017,March,24,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
65,Passeriformes,Icteriidae,Dives,Dives dives,Melodious Blackbird,Least Concern,Dead,Adult,Unknown,2016,February,10,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
66,Columbiformes,Columbidae,Patagioenas,Patagioenas flavirostris,Red-billed Pigeon,Least Concern,Dead,Adult,Unknown,2016,November,22,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
67,Passeriformes,Troglodytidae,Pheugopedius,Pheugopedius maculipectus,Spot-breasted Wren,Least Concern,Alive,Adult,Unknown,2016,January,20,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
68,Passeriformes,Parulidae,Seiurus,Seiurus aurocapilla,Ovenbird,Least Concern,Dead,Adult,Unknown,2016,November,24,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
69,Passeriformes,Tityridae,Tityra,Tityra semifasciata,Masked Tityra,Least Concern,Alive,Adult,Unknown,2016,April,29,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
70,Passeriformes,Turdidae,Turdus,Turdus grayi,Clay-colored Thrush,Least Concern,Dead,Adult,Unknown,2017,January,30,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
71,Passeriformes,Turdidae,Turdus,Turdus grayi,Clay-colored Thrush,Least Concern,Dead,Juvenile,Unknown,2016,August,28,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
72,Passeriformes,Turdidae,Turdus,Turdus grayi,Clay-colored Thrush,Least Concern,Dead,Adult,Unknown,2016,December,5,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
73,Passeriformes,Turdidae,Turdus,Turdus grayi,Clay-colored Thrush,Least Concern,Dead,Adult,Unknown,2016,December,5,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
74,Passeriformes,Turdidae,Turdus,Turdus grayi,Clay-colored Thrush,Least Concern,Alive,Adult,Unknown,2016,December,6,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
75,Columbiformes,Columbidae,Leptotila,Leptotila verreauxi,White-tipped Dove,Least Concern,Dead,Adult,Unknown,2017,May,9,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
76,Columbiformes,Columbidae,Leptotila,Leptotila verreauxi,White-tipped Dove,Least Concern,Dead,Adult,Unknown,2017,April,19,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
77,Apodiformes,Apodidae,Streptoprocne,Streptoprocne rutila,Chestnut-collared Swift,Least Concern,Dead,Juvenile,Unknown,2017,August,23,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
78,Passeriformes,Parulidae,Setophaga,Setophaga virens,Black-throated Green Warbler,Least Concern,Alive,Adult,Male,2017,November,14,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
79,Apodiformes,Trochilidae,Saucerottia,Saucerottia beryllina,Berylline Hummingbird,Least Concern,Dead,Unknown,Unknown,2018,January,17,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
80,Apodiformes,Trochilidae,Archilochus,Archilochus colubris,Ruby-throated Hummingbird,Least Concern,Dead,Unknown,Unknown,2016,February,19,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
81,Passeriformes,Passerellidae,Chlorospingus,Chlorospingus flavopectus,Common Chlorospingus,Least Concern,Alive,Adult,Unknown,2016,February,23,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
82,Apodiformes,Trochilidae,Saucerottia,Saucerottia cyanocephala,Azure-crowned Hummingbird,Least Concern,Dead,Adult,Unknown,2016,March,4,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
83,Apodiformes,Trochilidae,Saucerottia,Saucerottia cyanocephala,Azure-crowned Hummingbird,Least Concern,Dead,Adult,Unknown,2016,March,5,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
84,Apodiformes,Trochilidae,Saucerottia,Saucerottia cyanocephala,Azure-crowned Hummingbird,Least Concern,Dead,Adult,Unknown,2016,June,1,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
85,Apodiformes,Trochilidae,Saucerottia,Saucerottia cyanocephala,Azure-crowned Hummingbird,Least Concern,Dead,Adult,Unknown,2016,December,6,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
86,Passeriformes,Fringillidae,Euphonia,Euphonia elegantissima,Elegant Euphonia,Least Concern,Dead,Adult,Male,2016,February,17,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
87,Passeriformes,Turdidae,Hylocichla,Hylocichla mustelina,Wood Thrush,Least Concern,Dead,Adult,Unknown,2016,March,12,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
88,Passeriformes,Parulidae,Seiurus,Seiurus aurocapilla,Ovenbird,Least Concern,Alive,Adult,Unknown,2016,November,11,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
89,Apodiformes,Trochilidae,Saucerottia,Saucerottia cyanocephala,Azure-crowned Hummingbird,Least Concern,Dead,Adult,Unknown,2016,February,13,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
90,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus zonatus,Band-backed Wren,Least Concern,Dead,Adult,Unknown,2016,May,30,Exact,19.51,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
91,Columbiformes,Columbidae,Columba,Columba livia,Rock Pigeon,Least Concern,Dead,Adult,Unknown,2016,February,15,Exact,19.51,-96.91,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
92,Passeriformes,Fringillidae,Spinus,Spinus psaltria,Lesser Goldfinch,Least Concern,Dead,Adult,Male,2016,May,30,Exact,19.51,-96.91,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
93,Passeriformes,Hirundinidae,Stelgidopteryx,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Least Concern,Dead,Adult,Unknown,2016,February,7,Exact,19.51,-96.91,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
94,Passeriformes,Turdidae,Hylocichla,Hylocichla mustelina,Wood Thrush,Least Concern,Dead,Adult,Unknown,2016,November,10,Exact,19.54,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
95,Passeriformes,Turdidae,Myadestes,Myadestes occidentalis,Brown-backed Solitaire,Least Concern,Alive,Adult,Unknown,2016,November,15,Exact,19.54,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
96,Passeriformes,Parulidae,Cardellina,Cardellina pusilla,Wilson's Warbler,Least Concern,Dead,Adult,Male,2016,September,28,Exact,19.52,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
97,Apodiformes,Trochilidae,Saucerottia,Saucerottia cyanocephala,Azure-crowned Hummingbird,Least Concern,Dead,Adult,Unknown,2016,November,13,Exact,19.52,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
98,Apodiformes,Trochilidae,Chlorestes,Chlorestes candida,White-bellied Emerald,Least Concern,Dead,Adult,Unknown,2016,March,1,Exact,19.54,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
99,Passeriformes,Cardinalidae,Passerina,Passerina cyanea,Indigo Bunting,Least Concern,Dead,Adult,Male,2016,December,2,Exact,19.54,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
100,Piciformes,Picidae,Colaptes,Colaptes rubiginosus,Golden-olive Woodpecker,Least Concern,Dead,Adult,Unknown,2016,February,18,Exact,19.52,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
101,Passeriformes,Icteriidae,Icteria,Icteria virens,Yellow-breasted Chat,Least Concern,Dead,Unknown,Unknown,2016,January,10,Exact,19.52,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
102,Passeriformes,Parulidae,Leiothlypis,Leiothlypis ruficapilla,Nashville Warbler,Least Concern,Dead,Adult,Unknown,2017,February,13,Exact,19.52,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
103,Passeriformes,Vireonidae,Vireo,Vireo solitarius,Blue-headed Vireo,Least Concern,Dead,Adult,Unknown,2015,November,22,Exact,19.54,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
104,Apodiformes,Trochilidae,Pampa,Pampa curvipennis,Wedge-tailed Sabrewing,Least Concern,Dead,Adult,Unknown,2016,November,20,Exact,19.52,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
105,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,House Wren,Least Concern,Dead,Adult,Unknown,2016,October,21,Exact,19.52,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
106,Columbiformes,Columbidae,Columbina,Columbina inca,Inca Dove,Least Concern,Dead,Unknown,Unknown,2016,September,10,Exact,19.54,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
107,Passeriformes,Parulidae,Leiothlypis,Leiothlypis celata,Orange-crowned Warbler,Least Concern,Dead,Adult,Unknown,2017,February,10,Exact,19.54,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
108,Passeriformes,Icteriidae,Quiscalus,Quiscalus mexicanus,Great-tailed Grackle,Least Concern,Dead,Adult,Female,2017,October,5,Exact,19.53,-96.92,Precise,Xalapa,Veracruz,Mexico,None,Taller,Translucent,Systematic
109,Passeriformes,Thraupidae,Thraupis,Thraupis abbas,Yellow-winged Tanager,Least Concern,Dead,Adult,Unknown,2016,December,2,Exact,19.52,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
110,Passeriformes,Turdidae,Turdus,Turdus grayi,Clay-colored Thrush,Least Concern,Dead,Unknown,Unknown,2016,December,2,Exact,19.52,-96.93,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
111,Passeriformes,Parulidae,Mniotilta,Mniotilta varia,Black-and-white Warbler,Least Concern,Dead,Unknown,Unknown,2018,January,17,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
112,Passeriformes,Thraupidae,Coeraba,Coereba flaveola,Bananaquit,Least Concern,Alive,Adult,Unknown,2018,January,29,Exact,19.51,-96.94,Precise,Xalapa,Veracruz,Mexico,None,Taller,Reflective,Systematic
113,Passeriformes,Passerellidae,Spizella,Spizella pallida,Clay-colored Sparrow,Least Concern,Dead,Unknown,Unknown,2019,January,16,Exact,21.04,-101.67,Precise,Leon,Guanajuato,Mexico,None,Taller,Reflective,Systematic
114,Passeriformes,Passerellidae,Spizella,Spizella pallida,Clay-colored Sparrow,Least Concern,Dead,Unknown,Unknown,2018,January,28,Exact,21.04,-101.67,Precise,Leon,Guanajuato,Mexico,None,Taller,Reflective,Systematic
