General.ID,Order,Family,Genus,Species,Common.name,IUCN.status,Survivorship,Age,Sex,Year,Month,Day,Date.accuracy,Latitude,Longitude,Location.accuracy,Locality,State.or.Province,Country,Deterrent,Building.height,Pane.type,Data.collection.method
2138,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Rufous-bellied Thrush,Least Concern,Alive,Adult,Unknown,2012,November,14,Exact,-23.55,-46.65,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
2139,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Rufous-bellied Thrush,Least Concern,Alive,Juvenile,Unknown,2012,November,18,Exact,-23.57,-46.58,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Translucent,Gov. Agency
2140,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Juvenile,Unknown,2012,November,24,Exact,-23.6,-46.64,Precise,Sao Paulo,Sao Paulo,Brazil,None,Taller,Translucent,Gov. Agency
2141,Passeriformes,Turdidae,Turdus,Turdus leucomelas,Pale-breasted Thrush,Least Concern,Alive,Adult,Unknown,2012,November,28,Exact,-23.58,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Translucent,Gov. Agency
2142,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Alive,Adult,Male,2012,December,4,Exact,-23.62,-46.73,Precise,Sao Paulo,Sao Paulo,Brazil,None,Taller,Translucent,Gov. Agency
2143,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,Great Kiskadee,Least Concern,Alive,Juvenile,Unknown,2012,December,11,Exact,-23.53,-46.7,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Reflective,Gov. Agency
2144,Strigiformes,Strigidae,Megascops,Megascops choliba,Tropical Screech-Owl,Least Concern,Alive,Adult,Unknown,2013,January,2,Exact,-23.56,-46.73,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Translucent,Gov. Agency
2145,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Rufous-bellied Thrush,Least Concern,Alive,Adult,Male,2013,January,2,Exact,-23.6,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Translucent,Gov. Agency
2146,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Rufous-bellied Thrush,Least Concern,Alive,Adult,Female,2013,January,2,Exact,-23.65,-46.67,Precise,Sao Paulo,Sao Paulo,Brazil,None,Low-rise,Translucent,Gov. Agency
2147,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Juvenile,Unknown,2013,January,5,Exact,-23.56,-46.67,Precise,Sao Paulo,Sao Paulo,Brazil,None,Taller,Reflective,Gov. Agency
2148,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Alive,Adult,Unknown,2013,January,6,Exact,-23.49,-46.63,Precise,Sao Paulo,Sao Paulo,Brazil,None,Taller,Translucent,Gov. Agency
2149,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2012,January,22,Exact,-23.59,-46.66,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
2150,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,Least Concern,Alive,Unknown,Unknown,2013,February,2,Exact,-23.6,-46.7,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
2151,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Juvenile,Unknown,2013,February,16,Exact,-23.6,-46.65,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Taller,Unknown,Gov. Agency
2152,Piciformes,Ramphastidae,Ramphastos,Ramphastos dicolorus,Red-breasted Toucan,Least Concern,Alive,Juvenile,Unknown,2013,February,23,Exact,-23.45,-46.62,Precise,Sao Paulo,Sao Paulo,Brazil,Unknown,Low-rise,Unknown,Gov. Agency
